sample	replicate	day
d00-CT-SoilA	a	0
d01-CT-SoilA	a	1
d03-CT-SoilA	a	3
d05-CT-SoilA	a	5
d07-CT-SoilA	a	7
d10-CT-SoilA	a	10
d14-CT-SoilA	a	14
d20-CT-SoilA	a	20
d00-CT-SoilB	b	0
d01-CT-SoilB	b	1
d03-CT-SoilB	b	3
d05-CT-SoilB	b	5
d07-CT-SoilB	b	7
d10-CT-SoilB	b	10
d14-CT-SoilB	b	14
d20-CT-SoilB	b	20
d00-CT-SoilC	c	0
d01-CT-SoilC	c	1
d03-CT-SoilC	c	3
d05-CT-SoilC	c	5
d07-CT-SoilC	c	7
d10-CT-SoilC	c	10
d14-CT-SoilC	c	14
d20-CT-SoilC	c	20
